Year ,Number of slaves in Caribbean,,,,,,,
1650,511,,,,,,,
1651,"1,808",,,,,,,
1652,950,,,,,,,
1653,"1,327",,,,,,,
1654,"1,878",,,,,,,
1655,"2,042",,,,,,,
1656,961,,,,,,,
1657,"2,343",,,,,,,
1658,"3,981",,,,,,,
1659,"3,611",,,,,,,
1660,"2,662",,,,,,,
1661,"2,790",,,,,,,
1662,"2,640",,,,,,,
1663,"4,299",,,,,,,
1664,"11,393",,,,,,,
1665,"9,605",,,,,,,
1666,"6,145",,,,,,,
1667,"4,494",,,,,,,
1668,"8,137",,,,,,,
1669,"9,727",,,,,,,
1670,"7,101",,,,,,,
1671,"8,537",,,,,,,
1672,"7,349",,,,,,,
1673,"4,378",,,,,,,
1674,"8,592",,,,,,,
1675,"7,711",,,,,,,
1676,"9,925",,,,,,,
1677,"8,346",,,,,,,
1678,"9,442",,,,,,,
1679,"11,044",,,,,,,
1680,"15,696",,,,,,,
1681,"18,408",,,,,,,
1682,"16,441",,,,,,,
1683,"19,262",,,,,,,
1684,"13,475",,,,,,,
1685,"13,449",,,,,,,
1686,"15,652",,,,,,,
1687,"18,973",,,,,,,
1688,"13,026",,,,,,,
1689,"10,057",,,,,,,
1690,"4,357",,,,,,,
1691,"10,196",,,,,,,
1692,"10,437",,,,,,,
1693,"12,497",,,,,,,
1694,"11,417",,,,,,,
1695,"8,784",,,,,,,
1696,"9,361",,,,,,,
1697,"10,879",,,,,,,
1698,"12,523",,,,,,,
1699,"20,856",,,,,,,
1700,"22,822",,,,,,,
1701,"30,856",,,,,,,
1702,"22,743",,,,,,,
1703,"9,838",,,,,,,
1704,"13,289",,,,,,,
1705,"15,966",,,,,,,
1706,"12,690",,,,,,,
1707,"11,424",,,,,,,
1708,"18,520",,,,,,,
1709,"11,297",,,,,,,
1710,"16,221",,,,,,,
1711,"16,425",,,,,,,
1712,"13,716",,,,,,,
1713,"18,425",,,,,,,
1714,"27,219",,,,,,,
1715,"27,617",,,,,,,
1716,"26,307",,,,,,,
1717,"26,786",,,,,,,
1718,"23,818",,,,,,,
1719,"26,220",,,,,,,
1720,"17,899",,,,,,,
1721,"16,149",,,,,,,
1722,"26,168",,,,,,,
1723,"19,605",,,,,,,
1724,"24,746",,,,,,,
1725,"27,950",,,,,,,
1726,"31,728",,,,,,,
1727,"23,821",,,,,,,
1728,"24,683",,,,,,,
1729,"33,833",,,,,,,
1730,"35,441",,,,,,,
1731,"31,541",,,,,,,
1732,"30,736",,,,,,,
1733,"21,595",,,,,,,
1734,"17,732",,,,,,,
1735,"19,706",,,,,,,
1736,"21,971",,,,,,,
1737,"32,215",,,,,,,
1738,"27,728",,,,,,,
1739,"37,762",,,,,,,
1740,"33,416",,,,,,,
1741,"35,588",,,,,,,
1742,"27,736",,,,,,,
1743,"31,680",,,,,,,
1744,"36,475",,,,,,,
1745,"12,465",,,,,,,
1746,"12,707",,,,,,,
1747,"26,752",,,,,,,
1748,"25,084",,,,,,,
1749,"33,129",,,,,,,
1750,"35,737",,,,,,,
1751,"35,459",,,,,,,
1752,"32,860",,,,,,,
1753,"34,634",,,,,,,
1754,"44,552",,,,,,,
1755,"51,926",,,,,,,
1756,"31,211",,,,,,,
1757,"23,279",,,,,,,
1758,"24,030",,,,,,,
1759,"23,759",,,,,,,
1760,"28,076",,,,,,,
1761,"33,240",,,,,,,
1762,"29,120",,,,,,,
1763,"33,305",,,,,,,
1764,"56,406",,,,,,,
1765,"50,373",,,,,,,
1766,"64,536",,,,,,,
1767,"56,451",,,,,,,
1768,"55,185",,,,,,,
1769,"54,280",,,,,,,
1770,"65,305",,,,,,,
1771,"58,057",,,,,,,
1772,"59,206",,,,,,,
1773,"49,069",,,,,,,
1774,"60,803",,,,,,,
1775,"63,494",,,,,,,
1776,"56,857",,,,,,,
1777,"46,160",,,,,,,
1778,"35,369",,,,,,,
1779,"14,410",,,,,,,
1780,"10,081",,,,,,,
1781,"15,061",,,,,,,
1782,"20,502",,,,,,,
1783,"32,055",,,,,,,
1784,"70,378",,,,,,,
1785,"59,794",,,,,,,
1786,"60,387",,,,,,,
1787,"69,003",,,,,,,
1788,"68,611",,,,,,,
1789,"65,579",,,,,,,
1790,"78,850",,,,,,,
1791,"71,465",,,,,,,
1792,"66,310",,,,,,,
1793,"56,974",,,,,,,
1794,"26,172",,,,,,,
1795,"27,325",,,,,,,
1796,"28,610",,,,,,,
1797,"34,022",,,,,,,
1798,"41,502",,,,,,,
1799,"51,684",,,,,,,
1800,"51,302",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
